subject,Gender,Age,Condition,Response
UVB146,F,18,1,5
UWM510,M,31,1,4
UXF541,M,19,2,3
UXL691,F,40,3,4
UXN823,M,20,1,6
UYR928,M,32,3,5
VBY177,M,23,1,5
VCP030,M,17,2,1
VCR177,M,16,1,6
VHW682,M,40,1,7
VJA998,F,19,2,3
VKN390,M,22,1,1
VMI495,M,47,3,6
VMT819,F,20,1,3
VOF995,F,38,1,5
VOH257,F,31,3,4
VPR311,F,19,1,3
VPU513,M,16,2,4
VSG009,F,24,1,3
VYB203,F,39,3,4
VYD677,M,19,1,2
VYV143,F,20,1,2
VZG730,M,21,2,4
VZS378,F,20,2,4
WAF837,M,23,1,3
WFX960,F,44,1,5
WHX708,F,30,3,4
WKB147,F,22,3,5
WNL867,F,20,1,4
WOW850,M,16,2,3
XBE292,M,22,2,1
XBY394,F,20,1,4
XIY716,M,57,1,3
XKM468,F,21,2,3
XLP242,F,24,2,3
XMZ074,F,19,3,3
XOG060,F,25,1,2
XOV990,F,16,3,4
XQG718,M,17,2,3
XWL251,F,20,1,4
XXY724,F,16,2,5
XXZ702,M,40,1,4
XYW728,M,16,1,7
XYZ565,F,16,2,5
YAC704,F,20,2,2
YDI758,F,16,2,5
YIR600,F,27,2,4
YJG187,F,16,2,2
YLI579,F,27,1,5
YNM438,F,19,3,6
YOC913,F,21,1,6
YOS977,F,21,1,5
YOV946,F,21,3,5
YQJ830,M,17,3,1
YYI604,M,21,3,7
YZN790,F,41,1,4
ZAK774,F,25,1,6
ZDV755,M,20,3,5
ZFE648,M,56,2,4
ZGE884,M,42,1,3
ZHA366,M,38,3,3
ZMS415,F,16,2,7
ZNB062,M,26,1,5
ZON642,F,22,2,4
ZQN841,F,20,2,2
ZYW700,F,21,2,4
ZYZ696,M,19,2,3
