SUBJECT r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 
  2  1065.22  933.74  831.70  761.86  720.22  745.24  714.00  668.43  715.92  667.25  593.33
  4  1221.49 1162.45 1138.88 1077.60 1104.39 1030.33 1069.25  965.47  870.42  829.00  745.75
  5  1240.62 1110.81  912.49  990.90  890.58  920.65  902.80  876.06  874.73  785.29  716.75
  7   975.58  978.03  737.34  787.21  753.52  717.30  732.65  692.25  628.58  697.88  632.00
  8   921.90  975.30  850.42  912.43  868.18  834.57  819.80  862.93  790.82  653.25  661.25
  9  1154.69 1070.55  934.03  955.97  903.33  905.91  944.95  800.75  752.91  725.62  977.00
 10   864.41  862.51  839.91  734.03  747.75  748.35  676.10  646.69  657.25  634.50  605.50
100   761.09  718.45  686.46  680.33  649.93  708.05  602.80  611.56  555.08  585.38  567.50
