SUBJECT r1 r2 r3 r4 r5 r6 
  2   890.46 1032.21  767.59  891.12  870.16  719.00
  4  1169.35 1115.40  953.90 1308.77 1116.17 1095.27
  5  1003.09  917.07  871.44 1382.16  957.39  977.18
  7   881.04  893.15  786.38  969.90  720.68  731.14
  8   874.04 1112.91  848.77  957.15  739.78  826.87
  9   991.73 1053.04  899.90 1184.25  889.58  902.48
 10   874.96  902.76  740.69  861.16  683.21  705.67
100   668.50  752.58  649.07  753.35  651.35  651.31
